N,epsilon,method,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,repeats,time_tf32_initial_sec,time_orthogonalize_sec,time_rayleigh_transform_sec,time_fp64_refine_sec,time_backtransform_sec,time_total_sec,absolute_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,tf32_iterations,fp64_iterations,tf32_converged,fp64_converged,gpu_name,status,error
4096,0.03,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.013547350652515888,0.066080279927700755,0.016007679514586926,0.032854946702718733,0.0080327406525611874,0.13652299745008351,1.4388731986989799e-09,2.510154026409118e-07,2.317786107597297e-16,5,3,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.03,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.052207625936716795,nan,nan,0.50806838823482392,nan,0.56027634767815471,2.8602190797501201e-10,2.7146998832783223e-07,3.9148296063234584e-13,5,7,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.03,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.052541402261704208,0.24440716048702599,0.12580836648121477,0.26699681794270874,0.061963896453380587,0.75171764362603422,3.8377101244666753e-09,2.7146998832783223e-07,2.7856008615376569e-16,5,3,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.03,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.37484136503189802,nan,nan,4.0242949753999708,nan,4.3991367347538475,6.5427930114193609e-10,2.9340972595968927e-07,4.0929991430524902e-13,5,7,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.03,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.37671885518357157,1.1395901122130454,1.055826715566218,2.0039932278916242,0.49548871740698813,5.0716176282614471,9.0836867699599648e-09,2.9340972595968927e-07,2.3684296030854823e-16,5,3,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.04,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.014082073140889407,nan,nan,0.078082177229225641,nan,0.092164654657244688,7.4787437491315384e-11,1.6876067217257075e-07,1.7539745066850023e-13,6,8,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.04,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.022460117004811764,0.068447514530271286,0.016695389803498984,0.035463526286184786,0.0082563268952071667,0.151322874519974,1.7754981195986139e-09,1.6876067217257075e-07,6.1699507349381867e-16,6,3,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.04,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.060187223460525276,nan,nan,0.57219131626188757,nan,0.63237888412550092,4.5223863820858733e-10,1.8733508455691266e-07,4.1084500339366624e-13,6,8,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.04,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.060494839306920768,0.24412272982299327,0.12621775912120939,0.25578399701043963,0.061853702925145623,0.74847302818670869,5.2632457621981797e-09,1.8733508455691266e-07,7.3681862380960393e-16,6,3,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.04,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.44802959421649574,nan,nan,4.5252072629518807,nan,4.9732372254133228,8.1237381562150039e-10,2.0007306026033873e-07,3.339035547749277e-13,6,8,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.04,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.44889286691322922,1.1390187311917543,1.0539662505500018,2.0141213105060158,0.49629549952223895,5.1522946586832408,1.2155465225388136e-08,2.0007306026033873e-07,6.1919068679595721e-16,6,3,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.05,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.014088369254022837,nan,nan,0.085925823543220758,nan,0.10001455200836062,1.9227417563918416e-10,5.6740399792746916e-07,2.7227192787261688e-13,6,9,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.05,rayleigh_mixed_qr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.014882576651871204,0.066650325432419777,0.016022127214819194,0.033056294266134503,0.0080260250717401511,0.13863734863698482,1.9911041219833794e-09,5.6740399792746916e-07,1.2556598263423028e-15,6,3,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.05,mixed_tf32_ipt,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.060830458160489799,nan,nan,0.63594609228894117,nan,0.69677698928862808,1.0144661537950516e-09,6.6089609130558355e-07,6.6481903680558817e-13,6,9,true,true,NVIDIA A100-SXM4-80GB,ok,
