davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation
33,29,1.1436301337704304e-10,9.0157951849959294e-11,1,41,9.0157951849959294e-11,29,2.5078397802528156e-13,9.0157951849959294e-11,1.3766765505351941e-14,0,1,33,9.0157951849959294e-11,2.5078397802528156e-13,9.0157951849959294e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,33,0,12,0
34,28,2.5078397802528156e-13,1.4562078699510606e-13,1,43,6.453283020536925e-11,29,1.4562078699510606e-13,6.453283020536925e-11,1.5543122344752192e-14,0,1,34,6.453283020536925e-11,1.4562078699510606e-13,6.453283020536925e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,34,0,12,0
34,29,9.0157951849959294e-11,6.453283020536925e-11,1,43,6.453283020536925e-11,29,1.4562078699510606e-13,6.453283020536925e-11,1.5543122344752192e-14,0,1,34,6.453283020536925e-11,1.4562078699510606e-13,6.453283020536925e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,34,0,12,0
35,28,1.4562078699510606e-13,1.2243424729945906e-13,1,45,4.5863743488147771e-11,29,1.2243424729945906e-13,4.5863743488147771e-11,1.3100631690576847e-14,0,1,35,4.5863743488147771e-11,1.2243424729945906e-13,4.5863743488147771e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,35,0,12,0
35,29,6.453283020536925e-11,4.5863743488147771e-11,1,45,4.5863743488147771e-11,29,1.2243424729945906e-13,4.5863743488147771e-11,1.3100631690576847e-14,0,1,35,4.5863743488147771e-11,1.2243424729945906e-13,4.5863743488147771e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,35,0,12,0
36,28,1.2243424729945906e-13,1.4485707702503669e-13,1,47,3.3817306922581325e-11,29,1.4485707702503669e-13,3.3817306922581325e-11,1.2656542480726785e-14,0,1,36,3.3817306922581325e-11,1.2243424729945906e-13,3.3817306922581325e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,36,0,12,0
36,29,4.5863743488147771e-11,3.3817306922581325e-11,1,47,3.3817306922581325e-11,29,1.4485707702503669e-13,3.3817306922581325e-11,1.2656542480726785e-14,0,1,36,3.3817306922581325e-11,1.2243424729945906e-13,3.3817306922581325e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,36,0,12,0
37,28,1.4485707702503669e-13,1.154434437578271e-13,1,49,2.3388187003342042e-11,29,1.154434437578271e-13,2.3388187003342042e-11,1.7097434579227411e-14,0,1,37,2.3388187003342042e-11,1.154434437578271e-13,2.3388187003342042e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,37,0,12,0
37,29,3.3817306922581325e-11,2.3388187003342042e-11,1,49,2.3388187003342042e-11,29,1.154434437578271e-13,2.3388187003342042e-11,1.7097434579227411e-14,0,1,37,2.3388187003342042e-11,1.154434437578271e-13,2.3388187003342042e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,37,0,12,0
38,28,1.154434437578271e-13,8.0369980869789306e-14,1,51,1.7088177097825268e-11,29,8.0369980869789306e-14,1.7088177097825268e-11,1.4876988529977098e-14,0,1,38,1.7088177097825268e-11,8.0369980869789306e-14,1.7088177097825268e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,38,0,12,0
38,29,2.3388187003342042e-11,1.7088177097825268e-11,1,51,1.7088177097825268e-11,29,8.0369980869789306e-14,1.7088177097825268e-11,1.4876988529977098e-14,0,1,38,1.7088177097825268e-11,8.0369980869789306e-14,1.7088177097825268e-11,1,1,1,1,global_ok+active_ok,0,1,3e-09,38,0,12,0
